Iteration	Posterior	Likelihood	Prior	sigma2
5040	52.43868	49.42556	3.013117	0.007113497
5050	53.17226	50.10545	3.066812	0.00674161
5060	53.47521	50.24825	3.226954	0.005744006
5070	53.69838	50.5483	3.150072	0.006203034
5080	53.67043	50.53233	3.138103	0.006277723
5090	53.58358	50.46619	3.117386	0.006409135
5100	52.03264	49.04264	2.99	0.007279851
5110	51.25038	48.29843	2.951946	0.007562216
5120	53.59261	50.38388	3.208731	0.005849637
5130	53.68266	50.49684	3.185824	0.005985179
5140	53.43468	50.20259	3.23209	0.005714579
5150	53.19991	49.9437	3.256207	0.005578409
5160	51.38562	48.42755	2.958069	0.007516059
5170	53.03137	49.9768	3.05457	0.006824643
5180	53.70339	50.52846	3.174929	0.006050744
5190	53.08416	49.81823	3.265938	0.005524391
5200	53.45592	50.35832	3.097606	0.006537172
5210	53.68232	50.49636	3.185959	0.005984371
5220	52.73725	49.70479	3.032464	0.006977193
5230	52.3319	49.01799	3.313912	0.005265617
5240	53.41307	50.1784	3.23467	0.005699852
5250	53.45679	50.35907	3.097721	0.006536417
5260	53.7039	50.54995	3.15395	0.006179024
5270	53.68338	50.49783	3.185543	0.005986863
5280	53.47	50.3705	3.099498	0.006524815
5290	53.6332	50.50542	3.127779	0.006342872
5300	51.47368	48.51153	2.962145	0.007485486
5310	53.55581	50.44336	3.112456	0.006440812
5320	53.70996	50.54717	3.162787	0.006124663
5330	51.54638	48.19579	3.350599	0.005075942
5340	53.62382	50.42141	3.202409	0.005886738
5350	53.29293	50.21432	3.078602	0.006662592
5360	53.16907	49.91017	3.258902	0.005563396
5370	53.6566	50.46226	3.194339	0.005934436
5380	53.70496	50.53136	3.173597	0.006058812
5390	53.17514	50.10806	3.067077	0.006739822
5400	53.69558	50.51563	3.179956	0.006020406
5410	53.49599	50.27184	3.224144	0.005760166
5420	53.70946	50.54848	3.160972	0.006135788
5430	53.31379	50.23299	3.080801	0.006647954
5440	53.59921	50.47881	3.120399	0.006389854
5450	53.71007	50.54531	3.164757	0.006112609
5460	53.29606	50.21713	3.078929	0.006660414
5470	52.6564	49.62942	3.026974	0.007015604
5480	53.65149	50.51906	3.132437	0.006313396
5490	53.64063	50.44212	3.198512	0.00590972
5500	53.07144	50.01352	3.057916	0.00680185
5510	53.70367	50.54991	3.153761	0.006180194
5520	53.39503	50.30508	3.089958	0.006587361
5530	53.12806	50.06524	3.06282	0.006768573
5540	53.62348	50.49796	3.125528	0.006357162
5550	53.54908	50.33282	3.216259	0.005805764
5560	52.51866	49.5006	3.018065	0.007078381
5570	53.70961	50.54822	3.161389	0.006133228
5580	53.68467	50.49965	3.185023	0.005989978
5590	53.65497	50.52157	3.1334	0.006307315
5600	50.07811	46.67462	3.403489	0.004814449
5610	53.38304	50.14494	3.238102	0.005680328
5620	53.19779	50.1286	3.069189	0.0067256
5630	53.63266	50.43225	3.200412	0.005898505
5640	53.70005	50.52272	3.177322	0.006036281
5650	53.71002	50.54683	3.16319	0.006122193
5660	52.50962	49.20545	3.304163	0.005317204
5670	53.70446	50.53041	3.174043	0.006056109
5680	53.66387	50.52786	3.136013	0.006290858
5690	53.13097	50.06789	3.063079	0.006766823
5700	53.63259	50.50496	3.127634	0.00634379
5710	53.64872	50.45225	3.196466	0.005921826
