Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
304	0	53.69057	50.54464	3.145931	0.006228773
305	1	53.62472	50.49891	3.125808	0.006355386
306	0	53.00252	49.9503	3.052221	0.006840697
307	1	53.62557	50.49957	3.126002	0.006354154
308	0	53.54717	50.3306	3.216564	0.005803993
309	1	53.70656	50.53456	3.172004	0.006068473
310	0	53.62444	50.4987	3.125744	0.006355789
311	1	53.70839	50.54953	3.158859	0.006148765
312	0	53.55133	50.43963	3.111702	0.006445672
313	1	53.70419	50.52991	3.174276	0.006054698
314	0	53.30843	50.2282	3.080231	0.006651747
315	1	53.7002	50.52297	3.177225	0.006036872
316	0	53.65835	50.52399	3.134367	0.006301221
317	1	52.738	49.44755	3.290448	0.005390634
318	0	53.70861	50.54939	3.15922	0.006146546
319	1	53.46203	50.23336	3.22867	0.005734157
320	0	53.5375	50.42806	3.10944	0.006460265
321	1	53.63342	50.50559	3.127832	0.006342532
322	0	53.43684	50.20501	3.231826	0.005716088
323	1	53.02376	49.96981	3.053946	0.006828905
324	0	53.64065	50.51105	3.129601	0.006331323
325	1	53.49808	50.27423	3.223854	0.005761841
326	0	53.14045	49.87911	3.261334	0.005549882
327	1	53.16037	49.90072	3.259648	0.005559245
328	0	52.49912	49.19436	3.304759	0.005314035
329	1	53.6635	50.47116	3.192338	0.005946317
330	0	53.53062	50.42227	3.108348	0.006467326
331	1	52.39136	49.3811	3.010258	0.007133859
332	0	53.44023	50.34467	3.095556	0.006550585
333	1	53.70271	50.54971	3.153002	0.006184884
334	0	53.71001	50.54689	3.163113	0.006122663
335	1	53.44927	50.35254	3.09673	0.006542903
336	0	53.13732	49.87572	3.261595	0.00554843
337	1	53.32728	50.08321	3.244069	0.005646533
338	0	53.48347	50.25761	3.225853	0.005750332
339	1	53.59419	50.38575	3.208435	0.005851371
340	0	53.41644	50.32388	3.092556	0.006570265
341	1	51.56097	48.59471	2.96626	0.007454747
342	0	53.66304	50.52728	3.135761	0.006292445
343	1	53.60979	50.48723	3.122559	0.006376071
344	0	53.70993	50.54728	3.162651	0.006125496
345	1	53.61354	50.49019	3.12335	0.006371023
346	0	53.62585	50.42389	3.201959	0.005889384
347	1	53.65198	50.45638	3.195603	0.00592694
348	0	51.60414	48.63582	2.968323	0.007439377
349	1	53.62198	50.49679	3.125192	0.0063593
350	0	53.11649	50.05469	3.0618	0.006775483
351	1	52.18953	49.19095	2.99858	0.007217661
352	0	53.45291	50.22307	3.229831	0.005727501
353	1	53.68687	50.50276	3.184108	0.00599546
354	0	52.67708	49.64872	3.028359	0.007005894
355	1	53.71008	50.54552	3.164556	0.006113837
356	0	53.14082	50.07686	3.063957	0.006760882
357	1	52.1921	49.19338	2.998724	0.007216621
358	0	52.77198	49.48371	3.288268	0.005402395
359	1	53.60454	50.39811	3.206429	0.005863121
360	0	53.51147	50.40606	3.105413	0.006486336
361	1	51.20158	48.25181	2.949776	0.007578646
362	0	52.72816	49.43709	3.291071	0.005387275
363	1	52.32486	49.31854	3.006322	0.007161993
364	0	53.17992	49.92195	3.257963	0.005568619
365	1	51.28464	48.33116	2.953482	0.007550608
366	0	53.05392	49.7856	3.268323	0.005511228
367	1	53.51015	50.288	3.222149	0.005771671
368	0	53.63325	50.50546	3.127792	0.00634279
369	1	53.32304	50.07854	3.244503	0.00564408
370	0	52.20937	48.88912	3.320254	0.005232328
371	1	53.57324	50.45775	3.115494	0.006421276
372	0	53.04657	49.99074	3.055828	0.006816063
373	1	53.60727	50.40139	3.205883	0.005866318
374	0	53.7067	50.53486	3.171845	0.006069433
375	1	53.53194	50.42339	3.108557	0.006465972
376	0	53.27883	50.02993	3.248901	0.005619316
377	1	53.00975	49.95694	3.052805	0.006836701
378	0	53.45853	50.22942	3.229117	0.00573159
379	1	53.70611	50.53363	3.172484	0.006065561
380	0	53.49487	50.27057	3.224299	0.005759273
381	1	53.6535	50.4583	3.195193	0.005929366
382	0	53.6134	50.40877	3.204631	0.005873667
383	1	53.59089	50.38183	3.209054	0.005847748
384	0	51.65716	48.31125	3.345912	0.005099787
385	1	46.2511	43.4665	2.784598	0.008939791
386	0	53.54697	50.43599	3.110979	0.006450332
387	1	51.22382	48.27306	2.950763	0.007571171
388	0	53.7082	50.54963	3.158565	0.006150573
389	1	53.70995	50.5472	3.162757	0.006124847
